EUT	14191	EUT 220E	Industrial Design Studio I	Elif Küçüksayraç	0	A3	14191_EUT220E_ElifKucuksayrac_A3_01.jpg	Dr. Öğr. Üyesi 
EUT	14564	EUT 319E	Industrial Design Studio II	Miray Boğa	0	A3	14564_EUT319E_MirayBoga_A3_01.jpg	Öğr. Gör. 
EUT	14568	EUT 319E	Industrial Design Studio II	Koray Gelmez	0	A3	14568_EUT319E_KorayGelmez_A3_01.jpg	Dr. Öğr. Üyesi 
EUT	14575	EUT 320E	Industrial Design Studio III	Şebnem Timur	0	A3	14575_EUT320E_SebnemTimur_A3_01.jpg	Prof. Dr. 
EUT	14609	EUT 419E	Industrial Design Studio IV	Ekrem Cem Alppay	0	A3	14609_EUT419E_EkremCemAlppay_A3_01.jpg	Dr. Öğr. Üyesi 
EUT	14613	EUT 419E	Industrial Design Studio IV	Gülname Turan	0	A3	14613_EUT419E_GulnameTuran_A3_01.jpg	Prof. Dr. 
ICM	14632	ICM 349E	Interior Arch.Design Studio II	Emine Görgül	0	A3	14632_ICM349E_EmineGorgul_A3_01.jpg	Doç. Dr.
ICM	14633	ICM 349E	Interior Arch.Design Studio II	Ceyda Güney Yüksel	0	A3	14633_ICM349E_CeydaGuneyYuksel_A3_01.jpg	
ICM	14636	ICM 466E	Interior Arch.Desgn Studio III	Ece Gülağaç	0	A3	14636_ICM466E_EceGulagac_A3_01.jpg	
ICM	14639	ICM 449E	Interior Arch.Desgn Studio IV	Ece Gülağaç	0	A3	14639_ICM449E_EceGulagac_A3_01.jpg	
ICM	14641	ICM 449E	Interior Arch.Desgn Studio IV	Sema Yalçıntaş	0	A3	14641_ICM449E_SemaYalcintas_A3_01.jpg	
MIM	14307	MIM 212	Mimari Proje IV	Gülçin Pulat Gökmen	0	A3	14307_MIM212_GulcinPulatGokmen_A3_01.jpg	Prof. Dr. 
MIM	14309	MIM 212	Mimari Proje IV	Elmira Ayşe Gür	0	A3	14309_MIM212_ElmiraAyseGur_A3_01.jpg	Prof. Dr. 
MIM	14313	MIM 212	Mimari Proje IV	İffet Hülya Arı	0	A3	14313_MIM212_IffetHulyaAri_A3_01.jpg	Dr. Öğr. Üyesi
MIM	14316	MIM 212	Mimari Proje IV	Hakan Tong	0	A3	14316_MIM212_HakanTong_A3_01.jpg	Dr.
MIM	14316	MIM 212	Mimari Proje IV	Gökhan Ülken	0	A3	14316_MIM212_GokhanUlken_A3_01.jpg	Dr.
MIM	14325	MIM 212E	Architectural Design IV	Leman Figen Gül	0	A3	14325_MIM212E_LemanFigenGul_A3_01.jpg	Prof. Dr. 
MIM	14330	MIM 212E	Architectural Design IV	Meltem Aksoy	0	A3	14330_MIM212E_MeltemAksoy_A3_01.jpg	Doç. Dr.
MIM	14333	MIM 212E	Architectural Design IV	Funda Uz	0	A3	14333_MIM212E_FundaUz_A3_01.jpg	Doç. Dr.
MIM	14337	MIM 212E	Architectural Design IV	Tan Kamil Gürer	0	A3	14337_MIM212E_TanKamilGurer_A3_01.jpg	Doç. Dr.
MIM	14403	MIM 312	Mimari Proje VI	Suat Apak	0	A3	14403_MIM312_SuatApak_A3_01.jpg	Doç. Dr.
MIM	14405	MIM 312	Mimari Proje VI	Dilek Yıldız	0	A3	14405_MIM312_DilekYildiz_A3_01.jpg	Doç. Dr.
MIM	14412	MIM 312	Mimari Proje VI	Nurbin Paker Kahvecioğlu	0	A3	14412_MIM312_NurbinPakerKahvecioglu_A3_01.jpg	Doç. Dr.
MIM	14415	MIM 312	Mimari Proje VI	Çiğdem Eren	0	A3	14415_MIM312_CigdemEren_A3_01.jpg	Öğr. Gör. Dr.
MIM	14416	MIM 312	Mimari Proje VI	Bünyamin Derman	0	A3	14416_MIM312_BunyaminDerman_A3_01.jpg	
MIM	14418	MIM 312E	Architectural Design VI	Ayşe Şentürer	0	A3	14418_MIM312E_AyseSenturer_A3_01.jpg	Prof. Dr. 
MIM	14423	MIM 312E	Architectural Design VI	Yüksel Demir	0	A3	14423_MIM312E_YukselDemir_A3_01.jpg	Prof. Dr. 
MIM	14426	MIM 312E	Architectural Design VI	Belkıs Uluoğlu	0	A3	14426_MIM312E_BelkisUluoglu_A3_01.jpg	Prof. Dr. 
MIM	14427	MIM 312E	Architectural Design VI	Mehmet Emin Şalgamcıoğlu	0	A3	14427_MIM312E_MehmetEminSalgamcioglu_A3_01.jpg	Doç. Dr.
MIM	14428	MIM 312E	Architectural Design VI	Ozan Önder Özener	0	A3	14428_MIM312E_OzanOnderOzener_A3_01.jpg	Doç. Dr.
MIM	14475	MIM 351	Mimari Proje V	Gülçin Pulat Gökmen	0	A3	14475_MIM351_GulcinPulatGokmen_A3_01.jpg	Prof. Dr.
MIM	14479	MIM 351	Mimari Proje V	Elmira Ayşe Gür	0	A3	14479_MIM351_ElmiraAyseGur_A3_01.jpg	Prof. Dr.
MIM	14489	MIM 351	Mimari Proje V	İffet Hülya Arı	0	A3	14489_MIM351_IffetHulyaAri_A3_01.jpg	Dr. Öğr. Üyesi
MIM	14492	MIM 351	Mimari Proje V	Hakan Tong	0	A3	14492_MIM351_HakanTong_A3_01.jpg	Dr.
MIM	14493	MIM 351	Mimari Proje V	Gökhan Ülken	0	A3	14493_MIM351_GokhanUlken_A3_01.jpg	Dr.
MIM	14500	MIM 351E	Architectural Design V	Leman Figen Gül	0	A3	14500_MIM351E_LemanFigenGul_A3_01.jpg	Prof. Dr.
MIM	14505	MIM 351E	Architectural Design V	Meltem Aksoy	0	A3	14505_MIM351E_MeltemAksoy_A3_01.jpg	Doç. Dr.
MIM	14508	MIM 351E	Architectural Design V	Funda Uz	0	A3	14508_MIM351E_FundaUz_A3_01.jpg	Doç. Dr.
MIM	14510	MIM 351E	Architectural Design V	Tan Kamil Gürer	0	A3	14510_MIM351E_TanKamilGurer_A3_01.jpg	Doç. Dr.
